City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Uyuni,BO,2022-01-07 19:54:30,-20.4597,-66.825,59.67,50,97,7.83
68,Hilo,US,2022-01-07 19:54:09,19.7297,-155.09,80.11,79,8,3.0
69,Kaitangata,NZ,2022-01-07 19:54:30,-46.2817,169.8464,54.86,77,89,3.02
70,Bethel,US,2022-01-07 19:54:30,41.3712,-73.414,33.73,65,31,5.01
71,Pevek,RU,2022-01-07 19:54:31,69.7008,170.3133,-9.2,95,100,1.9
72,Khatanga,RU,2022-01-07 19:54:31,71.9667,102.5,-21.33,100,52,6.93
73,Auki,SB,2022-01-07 19:54:31,-8.7676,160.7034,78.37,86,97,5.39
74,Puerto Ayora,EC,2022-01-07 19:54:32,-0.7393,-90.3518,82.36,73,94,9.1
75,Ribeira Grande,PT,2022-01-07 19:54:32,38.5167,-28.7,57.6,67,40,1.14
76,Myitkyina,MM,2022-01-07 19:54:32,25.3833,97.4,56.37,70,6,2.59
77,Tabas,IR,2022-01-07 19:54:33,33.5959,56.9244,44.2,33,0,2.46
78,Beloha,MG,2022-01-07 19:54:33,-25.1667,45.05,73.83,86,95,13.6
79,Santa Isabel Do Rio Negro,BR,2022-01-07 19:54:33,-0.4139,-65.0192,94.89,37,100,1.72
80,Carnarvon,AU,2022-01-07 19:54:33,-24.8667,113.6333,75.27,78,6,8.05
81,Cape Town,ZA,2022-01-07 19:54:34,-33.9258,18.4232,76.26,62,0,5.01
82,Salvador,SV,2022-01-07 19:54:34,13.8333,-88.9167,83.05,35,25,1.99
83,Bredasdorp,ZA,2022-01-07 19:54:34,-34.5322,20.0403,69.28,88,98,14.97
84,Narsaq,GL,2022-01-07 19:54:35,60.9167,-46.05,2.39,81,80,5.06
85,Airai,TL,2022-01-07 19:54:35,-8.9266,125.4092,59.95,91,81,1.41
86,Cadiz,ES,2022-01-07 19:54:35,36.5,-5.75,51.75,80,0,3.98
87,Clyde River,CA,2022-01-07 19:54:36,70.4692,-68.5914,-10.57,80,100,3.74
88,Mataura,NZ,2022-01-07 19:54:36,-46.1927,168.8643,53.47,80,97,2.33
89,Kahului,US,2022-01-07 19:50:37,20.8947,-156.47,83.46,80,0,3.44
90,Lapua,FI,2022-01-07 19:55:36,62.9693,23.0088,16.48,100,91,1.63
91,Port Elizabeth,ZA,2022-01-07 19:55:37,-33.918,25.5701,72.1,94,100,11.5
92,Yellowknife,CA,2022-01-07 19:54:29,62.456,-114.3525,-18.42,97,46,7.4
93,Monte Alegre De Minas,BR,2022-01-07 19:55:37,-18.8706,-48.8808,77.65,81,64,5.5
94,Balabac,PH,2022-01-07 19:55:37,7.9868,117.0645,79.84,78,29,11.92
95,Hasaki,JP,2022-01-07 19:55:37,35.7333,140.8333,28.8,53,66,4.18
96,Mahajanga,MG,2022-01-07 19:55:38,-15.7167,46.3167,82.42,78,20,5.75
97,Dire,ML,2022-01-07 19:55:38,12.2833,-10.9667,81.9,18,0,2.53
98,Stuttgart,DE,2022-01-07 19:55:38,48.7823,9.177,37.58,88,40,6.91
99,Quartucciu,IT,2022-01-07 19:55:39,39.2519,9.1794,50.0,63,0,3.0
100,San Vicente,AR,2022-01-07 19:55:39,-26.6167,-54.1333,83.41,46,92,1.07
101,Flinders,AU,2022-01-07 19:55:39,-34.5833,150.8552,69.21,94,100,4.0
102,Nikolskoye,RU,2022-01-07 19:55:40,59.7035,30.7861,8.8,96,85,5.86
103,Khuzhir,RU,2022-01-07 19:55:40,53.1939,107.3397,14.02,70,8,10.49
104,Mayo,US,2022-01-07 19:55:40,38.8876,-76.5119,33.12,51,5,15.99
105,Naqadeh,IR,2022-01-07 19:55:41,36.9553,45.388,34.14,76,81,1.57
