City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,73,8.19,broken clouds
79,Hasaki,JP,35.7333,140.8333,43.2,70,100,22.17,overcast clouds
80,Katobu,ID,-4.9408,122.5276,77.47,89,98,1.36,overcast clouds
81,Ambatofinandrahana,MG,-20.55,46.8,61.36,91,100,3.89,overcast clouds
82,Mitsamiouli,KM,-11.3847,43.2844,82.29,76,89,9.95,overcast clouds
83,Luderitz,NA,-26.6481,15.1594,62.73,95,4,4.9,clear sky
84,Rio Grande,BR,-32.035,-52.0986,72.95,75,0,17.94,clear sky
85,Souillac,MU,-20.5167,57.5167,76.35,86,99,7.31,light rain
86,Fort Nelson,CA,58.8053,-122.7002,-20.61,76,100,0.0,heavy snow
87,Kaitangata,NZ,-46.2817,169.8464,64.36,72,86,4.79,overcast clouds
88,Cherskiy,RU,68.75,161.3,-16.19,98,100,0.83,overcast clouds
89,Portland,US,45.5234,-122.6762,54.54,60,0,10.0,clear sky
90,Bluff,NZ,-46.6,168.3333,66.79,83,91,4.52,overcast clouds
91,Ahipara,NZ,-35.1667,173.1667,74.3,61,100,4.72,overcast clouds
92,Uaua,BR,-9.8414,-39.4817,81.55,48,100,7.31,heavy intensity rain
93,Taseyevo,RU,57.2169,94.8978,24.84,88,100,12.33,overcast clouds
94,Provideniya,RU,64.3833,-173.3,8.71,66,0,15.66,clear sky
95,The Valley,AI,18.217,-63.0578,78.66,78,40,12.66,scattered clouds
96,Husavik,IS,66.0449,-17.3389,38.95,85,100,28.86,overcast clouds
97,Chuy,UY,-33.6971,-53.4616,70.84,75,0,14.88,clear sky
98,Almeirim,BR,-1.5233,-52.5817,73.83,97,98,2.13,overcast clouds
99,Torbay,CA,47.6666,-52.7314,28.76,80,25,1.99,scattered clouds
100,Hobart,AU,-42.8794,147.3294,63.01,85,75,1.01,light intensity drizzle
101,Edinburg,GB,55.9521,-3.1965,41.38,95,100,1.14,overcast clouds
102,Korla,CN,41.7597,86.1469,23.63,65,100,4.63,overcast clouds
103,Khatanga,RU,71.9667,102.5,-12.03,98,49,4.85,scattered clouds
104,Kapaa,US,22.0752,-159.319,80.47,62,0,1.99,clear sky
105,Bredasdorp,ZA,-34.5322,20.0403,71.28,72,100,8.7,overcast clouds
106,Nikolskoye,RU,59.7035,30.7861,24.69,99,94,1.81,snow
107,Haines Junction,CA,60.7522,-137.5108,-12.6,95,100,3.42,light snow
108,Burnie,AU,-41.0667,145.9167,64.31,88,91,4.94,overcast clouds
109,Half Moon Bay,US,37.4636,-122.4286,66.47,64,0,1.01,clear sky
110,Port Lavaca,US,28.615,-96.6261,69.98,72,80,16.33,broken clouds
111,Rock Hill,US,34.9249,-81.0251,64.04,79,100,8.05,overcast clouds
112,Cockburn Town,TC,21.4612,-71.1419,78.03,75,9,22.95,clear sky
113,Port Lincoln,AU,-34.7333,135.8667,79.99,48,65,10.71,broken clouds
114,Onda,ES,39.9667,-0.25,62.04,66,77,7.47,broken clouds
115,Tuktoyaktuk,CA,69.4541,-133.0374,-28.62,99,57,7.16,broken clouds
116,Nizhniy Tsasuchey,RU,50.5167,115.1333,-11.52,90,5,5.73,clear sky
117,Puerto Ayora,EC,-0.7393,-90.3518,74.01,82,83,8.25,broken clouds
118,Chokurdakh,RU,70.6333,147.9167,-26.88,97,12,8.21,few clouds
119,Takoradi,GH,4.8845,-1.7554,81.34,81,34,6.46,scattered clouds
120,Kodiak,US,57.79,-152.4072,29.59,66,100,16.2,overcast clouds
121,Mogadishu,SO,2.0371,45.3438,77.76,81,24,21.54,few clouds
122,Semnan,IR,35.5729,53.3971,38.16,46,0,1.23,clear sky
123,San Jeronimo,PE,-11.9472,-75.2829,56.34,71,52,4.14,broken clouds
124,Sobolevo,RU,54.4299,31.8996,21.9,96,100,6.93,light snow
125,Victoria,HK,22.2855,114.1577,64.26,84,52,1.99,broken clouds
126,Yellowknife,CA,62.456,-114.3525,-24.59,92,42,4.0,scattered clouds
127,Lewisville,US,33.0462,-96.9942,52.75,53,40,5.01,scattered clouds
128,Codrington,AU,-38.2667,141.9667,71.8,51,61,8.72,broken clouds
129,Korsakov,RU,46.6328,142.7813,-0.56,81,24,11.07,few clouds
130,Vostok,RU,46.4856,135.8833,-19.39,98,35,4.27,scattered clouds
131,Berdigestyakh,RU,62.0989,126.6992,-40.14,100,68,1.59,broken clouds
132,Sotnikovskoye,RU,45.0039,43.7772,38.48,87,100,12.41,overcast clouds
133,New Norfolk,AU,-42.7826,147.0587,62.65,77,100,1.99,overcast clouds
134,Butaritari,KI,3.0707,172.7902,81.52,77,99,14.18,overcast clouds
135,Port Elizabeth,ZA,-33.918,25.5701,67.1,94,75,16.11,broken clouds
136,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,49,0,13.0,clear sky
137,Clyde River,CA,70.4692,-68.5914,-5.57,84,100,27.63,light snow
138,Kisumu,KE,-0.1022,34.7617,67.8,57,84,5.68,broken clouds
139,Kampong Thum,KH,12.7111,104.8887,68.41,84,37,3.62,scattered clouds
140,Makakilo City,US,21.3469,-158.0858,77.61,59,4,2.55,clear sky
141,Nouadhibou,MR,20.931,-17.0347,68.65,53,100,10.67,overcast clouds
142,Mahebourg,MU,-20.4081,57.7,76.24,83,100,6.71,light rain
143,Hovd,MN,48.0056,91.6419,1.56,75,60,3.4,broken clouds
144,Bandarbeyla,SO,9.4942,50.8122,75.42,68,29,20.45,scattered clouds
145,Milan,IT,45.4643,9.1895,38.57,89,1,4.61,mist
146,Senanga,ZM,-16.1167,23.2667,67.87,93,100,3.94,overcast clouds
147,Xifeng,CN,42.7372,124.7222,12.54,79,99,5.35,overcast clouds
148,Bossangoa,CF,6.4926,17.4552,75.88,25,52,3.74,broken clouds
149,Grafton,US,42.207,-71.6856,42.15,79,100,3.0,light rain
150,Touros,BR,-5.1989,-35.4608,81.5,73,100,15.12,overcast clouds
151,Yelovo,RU,57.0538,54.9207,8.83,94,100,12.26,light snow
152,Grindavik,IS,63.8424,-22.4338,41.47,87,100,43.73,heavy intensity rain
153,Bethel,US,41.3712,-73.414,38.75,88,100,1.01,light rain
154,Lakatoro,VU,-16.0999,167.4164,84.09,73,41,3.04,scattered clouds
155,Nara,JP,34.6851,135.8049,41.97,76,38,1.01,scattered clouds
156,Louga,RU,58.7372,29.8453,22.8,97,95,1.12,overcast clouds
157,Tikapur,NP,28.5,81.1333,58.57,83,99,6.29,overcast clouds
